当前路径,当前维度,初始目标维度,初始处置,重点审计,责任子任务
节拍/PA-072-规则生路推理.md,节拍,节拍,待子任务逐条裁决,近重复压力样本 PA-057/PA-072,篇章知识
节拍/PA-073-替身尊严回收.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-074-世情现实清算.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-075-经营复利积累.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-076-快穿单元闭环.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-077-制度借势翻盘.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-078-心境破关兑现.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-079-赛事极限翻盘.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-080-技术边界破局.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-081-任务规则反杀.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-082-生活改善兑现.md,节拍,节拍,待子任务逐条裁决,近重复压力样本 PA-082/PA-085,篇章知识
节拍/PA-083-原作回响兑现.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-084-超凡情绪兑现.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-085-生活翻身兑现.md,节拍,节拍,待子任务逐条裁决,近重复压力样本 PA-082/PA-085,篇章知识
节拍/PA-086-建设复利兑现.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-087-单元反杀兑现.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-088-破境极限兑现.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-089-公堂改判兑现.md,节拍,节拍,待子任务逐条裁决,近重复压力样本 PA-089/PA-097,篇章知识
节拍/PA-090-规则回应兑现.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-091-原作遗憾兑现.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-092-公开反馈兑现.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-093-家族复利兑现.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-094-熟人公论兑现.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-095-单元余韵牵引.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-096-文斗认同兑现.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-097-制度翻案爆发.md,节拍,节拍,待子任务逐条裁决,近重复压力样本 PA-089/PA-097,篇章知识
节拍/PA-098-单元短弧节奏.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-099-慢爽复利推进.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-100-契约甜虐波浪.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-101-修行阶梯反馈.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-102-年代三线轮动.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-103-回响分歧轮动.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-104-礼制暗斗兑现.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-105-迪化误解.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-106-身份掉马.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-107-微兑现.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-108-信息差拉扯.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-109-代价升级.md,节拍,节拍,待子任务逐条裁决,核对章级时间曲线与近重复,篇章知识
节拍/PA-110-打破美好落差.md,节拍,节拍,待子任务逐条裁决,近重复压力样本 PA-063/PA-110,篇章知识
流派/扮猪吃虎流.md,流派,流派,待子任务逐条裁决,核对长期推进引擎与题材边界,书级知识
流派/穿越流.md,流派,流派,待子任务逐条裁决,核对长期推进引擎与题材边界,书级知识
流派/多子多福.md,流派,流派,待子任务逐条裁决,核对长期推进引擎与题材边界,书级知识
流派/狗血言情.md,流派,流派,待子任务逐条裁决,核对长期推进引擎与题材边界,书级知识
流派/规则怪谈.md,流派,流派,待子任务逐条裁决,核对长期推进引擎与题材边界,书级知识
流派/诡秘流.md,流派,流派,待子任务逐条裁决,世界规则与写法引擎拆分压力样本,书级知识
流派/黑暗流.md,流派,流派,待子任务逐条裁决,核对长期推进引擎与题材边界,书级知识
流派/洪荒流.md,流派,流派,待子任务逐条裁决,世界规则与写法引擎拆分压力样本,书级知识
流派/克苏鲁.md,流派,流派,待子任务逐条裁决,世界规则与写法引擎拆分压力样本,书级知识
流派/替身文.md,流派,流派,待子任务逐条裁决,核对长期推进引擎与题材边界,书级知识
流派/退婚流.md,流派,流派,待子任务逐条裁决,核对长期推进引擎与题材边界,书级知识
流派/稳健流.md,流派,流派,待子任务逐条裁决,核对长期推进引擎与题材边界,书级知识
流派/无敌流.md,流派,流派,待子任务逐条裁决,核对长期推进引擎与题材边界,书级知识
流派/无限流.md,流派,流派,待子任务逐条裁决,核对长期推进引擎与题材边界,书级知识
流派/系统流.md,流派,流派,待子任务逐条裁决,核对长期推进引擎与题材边界,书级知识
流派/悬疑推理.md,流派,流派,待子任务逐条裁决,核对长期推进引擎与题材边界,书级知识
流派/学院流.md,流派,流派,待子任务逐条裁决,核对长期推进引擎与题材边界,书级知识
流派/娱乐圈.md,流派,流派,待子任务逐条裁决,核对长期推进引擎与题材边界,书级知识
流派/直播流.md,流派,流派,待子任务逐条裁决,核对长期推进引擎与题材边界,书级知识
流派/重生流.md,流派,流派,待子任务逐条裁决,核对长期推进引擎与题材边界,书级知识
流派/追妻火葬场.md,流派,流派,待子任务逐条裁决,核对长期推进引擎与题材边界,书级知识
流派/赘婿流.md,流派,流派,待子任务逐条裁决,核对长期推进引擎与题材边界,书级知识
题材/都市.md,题材,题材,待子任务逐条裁决,核对核心承诺与canonical边界,书级知识
题材/古言.md,题材,题材,待子任务逐条裁决,核对核心承诺与canonical边界,书级知识
题材/幻言.md,题材,题材,待子任务逐条裁决,核对核心承诺与canonical边界,书级知识
题材/科幻.md,题材,题材,待子任务逐条裁决,末世与科幻边界压力样本,书级知识
题材/快穿.md,题材,题材,待子任务逐条裁决,核对核心承诺与canonical边界,书级知识
题材/历史.md,题材,题材,待子任务逐条裁决,核对核心承诺与canonical边界,书级知识
题材/末世.md,题材,题材,待子任务逐条裁决,末世与科幻边界压力样本,书级知识
题材/年代.md,题材,题材,待子任务逐条裁决,核对核心承诺与canonical边界,书级知识
题材/奇幻.md,题材,题材,待子任务逐条裁决,核对核心承诺与canonical边界,书级知识
题材/仙侠.md,题材,题材,待子任务逐条裁决,核对核心承诺与canonical边界,书级知识
题材/现言.md,题材,题材,待子任务逐条裁决,核对核心承诺与canonical边界,书级知识
题材/玄幻.md,题材,题材,待子任务逐条裁决,核对核心承诺与canonical边界,书级知识
题材/悬疑.md,题材,题材,待子任务逐条裁决,核对核心承诺与canonical边界,书级知识
题材/衍生.md,题材,题材,待子任务逐条裁决,核对核心承诺与canonical边界,书级知识
题材/游戏.md,题材,题材,待子任务逐条裁决,核对核心承诺与canonical边界,书级知识
题材/种田.md,题材,题材,待子任务逐条裁决,核对核心承诺与canonical边界,书级知识
追读/钩子-反转钩.md,追读,追读,待子任务逐条裁决,反转/认知/身份错位种属压力样本,篇章知识
追读/钩子-渴望钩.md,追读,追读,待子任务逐条裁决,支票/渴望边界压力样本,篇章知识
追读/钩子-情绪钩.md,追读,追读,待子任务逐条裁决,核对章尾压力的种属与落地差异,篇章知识
追读/钩子-认知钩.md,追读,追读,待子任务逐条裁决,反转/认知/身份错位种属压力样本,篇章知识
追读/钩子-身份错位钩.md,追读,追读,待子任务逐条裁决,反转/认知/身份错位种属压力样本,篇章知识
追读/钩子-时间倒计时钩.md,追读,追读,待子任务逐条裁决,核对章尾压力的种属与落地差异,篇章知识
追读/钩子-危机钩.md,追读,追读,待子任务逐条裁决,核对章尾压力的种属与落地差异,篇章知识
追读/钩子-悬念钩.md,追读,追读,待子任务逐条裁决,核对章尾压力的种属与落地差异,篇章知识
追读/钩子-选择钩.md,追读,追读,待子任务逐条裁决,核对章尾压力的种属与落地差异,篇章知识
追读/钩子-支票钩.md,追读,追读,待子任务逐条裁决,支票/渴望边界压力样本,篇章知识
