来源编号/名称,输入源,处置,去向或吸收目标,理由,备注
TR-018 TR-018,桥段套路.csv,合并吸收,场景/谍战接头+技法/对白-潜台词双层,茶馆接头是日常伪装下情报博弈容器加双层台词,返修:补谍战接头容器
TR-019 TR-019,桥段套路.csv,合并吸收,场景/黑市交易,黑市禁物交易是禁忌氛围下私下交易容器,返修:原挂拍卖会错维
TR-020 TR-020,桥段套路.csv,合并吸收,节拍/PA-080-技术边界破局+PA-057-试错递进破局,土法造物是有限资源换超预期加试错递进,返修:原挂PA-054错维
TR-021 TR-021,桥段套路.csv,删除,-,黑暗森林误发信号依赖科幻设定概念，恐惧机制无独立canonical,真删除保留
TR-022 TR-022,桥段套路.csv,合并吸收,场景/梦境,梦境核心直面创伤是空间与情绪双失真的特殊容器,返修:删除改合并
TR-023 TR-023,桥段套路.csv,合并吸收,场景/谈判对峙+技法/对白-潜台词双层,中立区禁战对峙是筹码交换与底线试探容器,返修:原挂副本入场错挂，弱覆盖复核后改真去向
TR-024 TR-024,桥段套路.csv,合并吸收,节拍/PA-065-三层伏笔回收+技法/视角-有限认知,配角番外暗线救主是伏笔回收加视角补叙,返修:原去向为真误双线簇复制错误
TR-025 TR-025,桥段套路.csv,合并吸收,追读/钩子-悬念钩+钩子-断章钩,发现式章末钩是信息缺口加临界收章,
TR-026 TR-026,桥段套路.csv,合并吸收,追读/钩子-危机钩+钩子-断章钩,危险式章末钩是逼近危险加临界收章,返修:原挂副本入场错维
TR-027 TR-027,桥段套路.csv,合并吸收,追读/钩子-身份错位钩,身份揭露式章末钩正是身份错位钩,返修:原挂反转钩，此条方为身份错位钩真消费者
TR-028 TR-028,桥段套路.csv,合并吸收,追读/钩子-选择钩+节拍/PA-035-道德抉择震荡,反派交易三选一是两难抉择收章加抉择震荡,返修:删除改合并
TR-029 TR-029,桥段套路.csv,合并吸收,技法/对白-潜台词双层+节拍/PA-108-信息差拉扯,假意投诚背刺是双层博弈台词加信息差拉扯,返修:节拍改PA-108实名
TR-030 TR-030,桥段套路.csv,合并吸收,节拍/PA-014-收缩圈生存淘汰,大逃杀临时结盟背刺已由PA-014收缩圈临时结盟背叛覆盖，无需新增场景,返修:删除改合并，评估结论见摘要
TR-031 TR-031,桥段套路.csv,合并吸收,节拍/PA-002-微反转补刀,爽点兑现后微反转补刀正是PA-002微反转补刀,返修:原挂PA-054错维
TR-032 TR-032,桥段套路.csv,合并吸收,节拍/PA-043-大战前静压聚能,任务前聚餐温情埋雷是大战前静压确认代价交代未尽,返修:删除改合并
TR-033 TR-033,桥段套路.csv,合并吸收,技法/设定执行-金手指代价出手,绝境禁术反噬翻盘是出手同时兑现翻盘与代价,返修:删除改合并
TR-034 TR-034,桥段套路.csv,合并吸收,技法/视角-反派独处决策+节拍/PA-048-线索剥洋葱递亮,反派独白重解旧局是反派独处展示理解误判补后手,返修:原挂反转钩错维
TR-035 TR-035,桥段套路.csv,合并吸收,场景/宴会+技法/对白-潜台词双层,假和解宴是宴席言语回合暗战加双层台词,返修:删除改合并
TR-036 TR-036,桥段套路.csv,合并吸收,节拍/PA-033-战力受限再造张力,中BOSS接力施压靠改胜利条件与战场规则换维度升级,返修:原挂副本入场错维，回读原文重判
TR-037 TR-037,桥段套路.csv,合并吸收,技法/信息-闲笔伏笔+节拍/PA-026-证据累积逼真相,日常闲聊拼真相是闲笔伏笔回收加证据累积,返修:原挂反转钩错维
TR-038 TR-038,桥段套路.csv,合并吸收,场景/败战余波,败战低谷整队再出发是带代价撤离的收束容器,返修:删除改合并
TR-039 TR-039,桥段套路.csv,合并吸收,场景/公开评议+当众翻盘,榜单公布逆袭是一个结果同时击中不同立场的公开容器,返修:原挂反转钩错维
TR-040 TR-040,桥段套路.csv,合并吸收,场景/搜证+节拍/PA-026-证据累积逼真相,房间搜证拼时间差是搜索顺序推动假设加证据累积,返修:原挂反转钩错维
TR-041 TR-041,桥段套路.csv,合并吸收,场景/审讯+技法/对白-潜台词双层,审讯桌沉默逼供反咬即审讯对抗容器加双层台词,返修:原挂PA-001|061错维
TR-042 TR-042,桥段套路.csv,合并吸收,场景/当众翻盘+比武大会,演武场公开授课破格夺魁是公开逆转与擂台容器,返修:原挂PA-001|061错维
TR-043 TR-043,桥段套路.csv,合并吸收,节拍/PA-058-假安全崩塌追收,节庆刺杀是先真放松再用早埋异常掀翻安全感,返修:删除改合并
TR-044 TR-044,桥段套路.csv,合并吸收,节拍/PA-028-天赋揭晓升级,开箱抽奖爆隐藏奖励是阶段性奖励揭晓节点,返修:删除改合并
TR-045 TR-045,桥段套路.csv,合并吸收,节拍/PA-048-线索剥洋葱递亮,故地重返揭旧案是逐层改写认知的旧局重解,返修:原挂反转钩，收敛为认知递进
TR-046 TR-046,桥段套路.csv,合并吸收,节拍/PA-050-隐藏条件回填,真结局条件最后拼齐是隐藏条件拆成早期小异常回填,返修:原挂副本入场错维
TR-047 TR-047,桥段套路.csv,合并吸收,场景/拍卖会,拍卖会压轴捡漏反杀是以竞价为骨架的多方博弈容器,
TR-048 TR-048,桥段套路.csv,合并吸收,场景/重逢+关系跃迁,雨夜屋檐旧情对峙是今昔对照重逢加关系当场跃迁,返修:原挂谈判对峙错挂，弱覆盖复核后改真去向
TR-049 TR-049,桥段套路.csv,合并吸收,场景/当众翻盘,记者会公开爆料翻盘是公开场合先压到最低再层层反杀,返修:删除改合并
TR-050 TR-050,桥段套路.csv,合并吸收,技法/情感-假扮关系潜台词,假扮关系真触心防即任务口径与真实心防相撞,返修:原挂宴会错维
TR-051 TR-051,桥段套路.csv,删除,-,失踪前辈留最后线索依赖被神化人物的情怀绑定，无可迁移原理,真删除保留
TR-052 TR-052,桥段套路.csv,合并吸收,节拍/PA-036-主神任务歧义陷阱+技法/设定执行-规则利用呈现,试炼最后一题逆解是读懂题目真意加规则漏洞组合,返修:原挂副本入场错挂，弱覆盖复核后改真去向
TR-053 TR-053,桥段套路.csv,合并吸收,节拍/PA-043-大战前静压聚能,大决战前分组立誓是大战前静压确认代价交代未尽,返修:删除改合并
TR-054 TR-054,桥段套路.csv,合并吸收,场景/离别守夜,病房守夜说不开的话是倒计时与低声承载未尽之言容器,返修:原挂关系跃迁错挂，弱覆盖复核后改真去向
TR-055 TR-055,桥段套路.csv,合并吸收,节拍/PA-058-假安全崩塌追收,假通关广播后真危险即先真放松再用早埋异常掀翻,返修:删除改合并
TR-056 TR-056,桥段套路.csv,合并吸收,节拍/PA-057-试错递进破局+PA-026-证据累积逼真相,死亡回档换出生路是每次试错新增有效信息逼近真解,返修:原挂反转钩错维
TR-057 TR-057,桥段套路.csv,合并吸收,场景/突破+节拍/PA-071-战中破境兑现,天赋升级临界翻盘是蓄势干扰代价的临界戏加战中破境,返修:删除改合并
TR-058 TR-058,桥段套路.csv,合并吸收,技法/信息-矛盾规则对照+场景/推演破局,规则校验找唯一漏洞是并列冲突规则校验加观点碰撞破局,返修:原挂副本入场错挂，弱覆盖复核后改真去向
TR-059 TR-059,桥段套路.csv,合并吸收,节拍/PA-029-多线汇聚大事件+PA-056-多线轮转汇聚,多线同刻汇聚爆发正是多线汇聚群像高潮,返修:原挂PA-001|061错维
TR-060 TR-060,桥段套路.csv,合并吸收,节拍/PA-002-微反转补刀+追读/钩子-悬念钩,高维首次注视是阶段胜利后用更高一层抬出更大存在,返修:原挂副本入场错维，回读原文重判
TR-061 TR-061,桥段套路.csv,合并吸收,节拍/PA-050-隐藏条件回填,普通奖励藏最终钥匙是不起眼小异常后期回填,返修:删除改合并
TR-062 TR-062,桥段套路.csv,合并吸收,节拍/PA-051-终局分歧铺路+追读/钩子-选择钩,放弃稳胜转真结局是终局价值观分家加两难抉择,返修:删除改合并
TR-063 TR-063,桥段套路.csv,合并吸收,节拍/PA-006-狗血冲突螺旋升级,多方入局冲突升级正是原冲突-催化事件-多方入局-峰值加码,返修:删除改合并
TR-064 TR-064,桥段套路.csv,合并吸收,技法/信息-误会作工具+节拍/PA-063-情绪蓄压虐点,错位证据误会虐点是可回收误会工具加情感蓄压,返修:原挂身份掉马错维
TR-065 TR-065,桥段套路.csv,合并吸收,节拍/PA-106-身份掉马+场景/当众翻盘,公开身份揭露反转是长期铺垫身份反差加公开翻盘,返修:此条方为身份掉马真消费者
TR-066 TR-066,桥段套路.csv,合并吸收,场景/宴会+技法/描写-生活动作载情,饭桌审判群像是座次言语暗战加生活动作载情,返修:删除改合并
TR-067 TR-067,桥段套路.csv,合并吸收,节拍/PA-074-世情现实清算,年代分家清算是把含糊账目摊到桌面让偏心反噬,返修:删除改合并
TR-068 TR-068,桥段套路.csv,合并吸收,节拍/PA-075-经营复利积累+场景/经营,经营开荒第一桶金是小胜转投下一轮的复利积累,返修:删除改合并
TR-069 TR-069,桥段套路.csv,合并吸收,节拍/PA-027-副本限时倒计时+追读/钩子-时间倒计时钩,快穿任务失败倒计时是时间限制挂任务规则加倒计时钩,返修:原挂身份掉马错维
TR-070 TR-070,桥段套路.csv,合并吸收,技法/信息-规则文本仿真+信息-矛盾规则对照,错误规则诱导踩坑是规则文本仿真加真假规则并列校验,返修:去掉副本入场兜底
TR-071 TR-071,桥段套路.csv,合并吸收,场景/推演破局+节拍/PA-026-证据累积逼真相,死局生路推理是观点碰撞破局加证据累积逼真相,返修:原挂副本入场错维
TR-072 TR-072,桥段套路.csv,合并吸收,节拍/PA-073-替身尊严回收,替身真相尊严清算正是从被比较到主动退出重定价,返修:原挂反转钩错维
TR-073,桥段套路.csv,转交,创意约束候选(追妻赎罪代价机制-书级域仅登记),追妻赎罪长期行动付账属书级创意约束候选，登记转交,
TR-074 TR-074,桥段套路.csv,合并吸收,技法/视角-反派独处决策+节拍/PA-050-隐藏条件回填,反派胜券在握翻车是反派独处误判加早埋变量回收,返修:原去向为真误双线簇复制错误
TR-075 TR-075,桥段套路.csv,合并吸收,追读/钩子-断章钩,答案门缝式付费卡点即临界点收住抛新问题的断章钩,返修:原挂反转钩错维
TR-076 TR-076,桥段套路.csv,合并吸收,节拍/PA-007-黄金三章情绪契约+技法/结构-结果先行开篇,第一人称反常开局是先甩结果再补身份的结果先行开篇,返修:原挂副本入场错维
TR-077 TR-077,桥段套路.csv,合并吸收,节拍/PA-074-世情现实清算,世情旧账现实清算正是让占便宜者被现实规则反噬,返修:删除改合并
TR-078 TR-078,桥段套路.csv,合并吸收,技法/信息-规则文本仿真+设定执行-规则利用呈现,违规后果示范是规则文本仿真加规则后果可观察动作链,返修:去掉副本入场兜底
TR-079 TR-079,桥段套路.csv,合并吸收,技法/信息-矛盾规则对照,矛盾规则条件分层正是并列冲突规则给校验抓手,返修:原挂反转钩错维
TR-080 TR-080,桥段套路.csv,合并吸收,场景/团战+技法/战斗-分镜节拍,分工合击式玄幻团战是站位分工局势变化容器加分镜节拍,返修:删除改合并，且与TR-081去向错位纠正
TR-081 TR-081,桥段套路.csv,合并吸收,场景/突破+节拍/PA-071-战中破境兑现,战中破境瓶颈回收是蓄势干扰代价临界戏加战中破境,返修:原挂打斗|比武错维，与TR-080错位纠正
TR-082 TR-082,桥段套路.csv,合并吸收,技法/情感-假扮关系潜台词,替身真假情感升温是明知在演却细节先像真,返修:原挂反转钩错维
TR-083 TR-083,桥段套路.csv,删除,-,追妻有限修复结局是追妻题材固定情感收束模板,真删除保留
TR-084 TR-084,桥段套路.csv,合并吸收,节拍/PA-075-经营复利积累+场景/经营,集市试卖口碑发酵是小胜复利积累加经营容器,返修:删除改合并
TR-085 TR-085,桥段套路.csv,合并吸收,节拍/PA-083-原作回响兑现,快穿原主逆袭反杀是回响原剧情遗憾补遗憾改命运,返修:删除改合并
TR-086 TR-086,桥段套路.csv,合并吸收,技法/情感-假扮关系潜台词,目标人物反攻略是任务口径与真实心防相撞,返修:删除改合并
TR-087 TR-087,桥段套路.csv,合并吸收,追读/钩子-选择钩+节拍/PA-035-道德抉择震荡,灾年粮荒是资源稀缺下的道德两难与选择代价,返修:删除改合并
TR-088 TR-088,桥段套路.csv,合并吸收,节拍/PA-052-结局前总账清算,仙侠因果旧债清算是按主线人物情感设定账分层结清,返修:删除改合并
TR-089 TR-089,桥段套路.csv,合并吸收,节拍/PA-079-赛事极限翻盘,电竞让二追三是可读的一波逆转公开兑现改写胜负,返修:删除改合并
TR-090 TR-090,桥段套路.csv,合并吸收,节拍/PA-077-制度借势翻盘,朝堂旧例借刀正是在规则内反手利用制度与人心,返修:删除改合并
TR-091 TR-091,桥段套路.csv,合并吸收,场景/限时救援,工程倒计时救援是步骤故障资源限制层层加压的救援容器,返修:删除改合并
TR-092 TR-092,桥段套路.csv,合并吸收,节拍/PA-083-原作回响兑现+技法/结构-名场面变奏,原作名场面分歧是熟悉回响点写出新分歧新代价,返修:删除改合并
TR-093 TR-093,桥段套路.csv,合并吸收,节拍/PA-074-世情现实清算,单位名额反转是用工作记录证词让暗中抹黑被现实反噬,返修:删除改合并
TR-094 TR-094,桥段套路.csv,合并吸收,节拍/PA-074-世情现实清算+场景/公开评议,院落账本公审是证据落桌加群体公开评议改风评,返修:删除改合并
TR-095 TR-095,桥段套路.csv,合并吸收,场景/制度关卡,年代高考返城介绍信卡点正是一张纸的制度阻碍容器,返修:删除改合并
TR-096 TR-096,桥段套路.csv,合并吸收,场景/宴会+节拍/PA-075-经营复利积累,丰收庆典凝聚是集体宴席庆典加劳动成果复利兑现,返修:删除改合并
TR-097 TR-097,桥段套路.csv,合并吸收,节拍/PA-075-经营复利积累+场景/经营,作坊试产翻盘是失败暴露优势后改良形成复利,返修:删除改合并
TR-098 TR-098,桥段套路.csv,合并吸收,场景/协作劳动,修渠开荒破局是天气工具人手调度改变结果的协作容器,返修:删除改合并
TR-099 TR-099,桥段套路.csv,合并吸收,节拍/PA-075-经营复利积累+场景/经营,赶集试卖复购是从没人信到有人专程来的复利积累,返修:删除改合并
TR-100 TR-100,桥段套路.csv,合并吸收,节拍/PA-076-单元剧情节拍+场景/开篇危机,快穿新世界开局是入场危机单元节拍加开篇危机容器,返修:原挂身份掉马错维
TR-101 TR-101,桥段套路.csv,合并吸收,节拍/PA-036-主神任务歧义陷阱+技法/设定执行-规则利用呈现,限时任务钻缝是读懂规则用措辞漏洞改写结算,返修:原挂设定执行首次亮相埋限错维
TR-102 TR-102,桥段套路.csv,合并吸收,节拍/PA-073-替身尊严回收,快穿替身世界自我归位正是被比较到主动夺回身份,返修:原挂反转钩错维
TR-103 TR-103,桥段套路.csv,合并吸收,追读/钩子-悬念钩+节拍/PA-050-隐藏条件回填,快穿评级异常是单元后留长期谜题的隐藏回填加悬念钩,返修:原挂设定执行错维
TR-104 TR-104,桥段套路.csv,合并吸收,节拍/PA-084-超凡情绪兑现+技法/设定执行-情绪规则同步,幻言契约反噬守护是契约在关键时刻回应真情并保留代价,返修:原挂副本入场错维
TR-105 TR-105,桥段套路.csv,合并吸收,节拍/PA-106-身份掉马+PA-084-超凡情绪兑现,幻言血脉认主反转是身份反差揭露加超凡设定回应,返修:原挂反转钩错维
TR-106 TR-106,桥段套路.csv,合并吸收,技法/设定执行-工艺失控具体,仙侠炼丹炸炉变异与TR-014同为工艺失败步骤偏差加意外收获,返修:删除改合并，与TR-014同去向
TR-107 TR-107,桥段套路.csv,合并吸收,技法/设定执行-规则利用呈现,衍生体系碰撞是外来能力接受原作规则检验的可观察动作链；衍生兼容原则登记转交创意约束,返修:原挂副本入场错维
TR-108 TR-108,桥段套路.csv,合并吸收,节拍/PA-080-技术边界破局,衍生战力校准是有限优势靠情报地形克制换胜；衍生标尺原则登记转交创意约束,返修:删除改合并
