来源编号/名称,输入源,处置,去向或吸收目标,理由,备注
WT-063,写作技法.csv,合并吸收,技法/信息-规则文本仿真,可执行规则,
WT-064,写作技法.csv,转交,节拍/PA-060-后日谈降落余温,后日谈时序,
WT-065,写作技法.csv,合并吸收,技法/信息-闲笔伏笔,多重解释伏笔,
WT-066,写作技法.csv,合并吸收,技法/信息-证据投放顺序,反证链,
WT-067,写作技法.csv,合并吸收,技法/设定执行-年代生活约束,制度细节,
WT-068,写作技法.csv,合并吸收,技法/描写-动作化情绪,强情绪外化,
WT-069,写作技法.csv,合并吸收,技法/视角-有限认知,反派有限信息,
WT-070,写作技法.csv,合并吸收,技法/视角-有限认知,第一人称,
WT-071,写作技法.csv,合并吸收,技法/信息-规则文本仿真,冷静恐怖文本,
WT-072,写作技法.csv,合并吸收,技法/描写-五感定场,恐怖递进感官,
WT-073,写作技法.csv,合并吸收,技法/战斗-力量可视化,空间方位战斗,
WT-074,写作技法.csv,合并吸收,技法/对白-潜台词双层,信息差潜台词,
WT-075,写作技法.csv,合并吸收,技法/描写-生活动作载情,生活化情感,
WT-076,写作技法.csv,合并吸收,技法/信息-微冲突信息差,甜宠信息压,
WT-077,写作技法.csv,合并吸收,技法/设定执行-年代生活约束,历史制度,
WT-078,写作技法.csv,合并吸收,技法/设定执行-知识过程呈现,经营细节过程,
WT-079,写作技法.csv,合并吸收,技法/描写-动态环境联动,梦境氛围——场景有梦境容器，呈现并环境,
WT-080,写作技法.csv,转交,节拍/PA-076-单元剧情节拍,快穿单元节奏,
WT-081,写作技法.csv,合并吸收,技法/视角-解说席拆招,赛事解说,
WT-082,写作技法.csv,合并吸收,技法/设定执行-工艺失控具体,科幻工艺,
WT-083,写作技法.csv,合并吸收,技法/情感-触发反应链,血脉/共鸣情绪,
WT-084,写作技法.csv,合并吸收,技法/结构-名场面变奏,同人OOC防,
WT-085,写作技法.csv,合并吸收,技法/描写-生活动作载情,宫斗生活细节,
WT-086,写作技法.csv,合并吸收,技法/对白-圈层黑话点缀,历史称谓口吻,
WT-087,写作技法.csv,合并吸收,技法/设定执行-知识过程呈现,种田阶段过程,
WT-088,写作技法.csv,转交,追读,快穿单元尾钩,
WT-089,写作技法.csv,合并吸收,技法/情感-触发反应链,渡劫心境——场景有突破，呈现并情感,
WT-090,写作技法.csv,合并吸收,技法/结构-对比反差,点评/打脸对照,
WT-091,写作技法.csv,合并吸收,技法/设定执行-情绪规则同步,契约羁绊,
WT-092,写作技法.csv,合并吸收,技法/结构-名场面变奏,蝴蝶效应回响,
WT-093,写作技法.csv,合并吸收,技法/战斗-分镜节拍,游戏战局,
WT-094,写作技法.csv,合并吸收,技法/结构-对比反差,豪门对照,
WT-095,写作技法.csv,合并吸收,技法/对白-潜台词双层,宫斗潜台词,
WT-096,写作技法.csv,合并吸收,技法/结构-名场面变奏,同人角色边界,
WT-097,写作技法.csv,合并吸收,技法/信息-证据投放顺序,历史考据链,
WT-098,写作技法.csv,合并吸收,技法/描写-生活动作载情,生活流小确幸,
WT-099,写作技法.csv,合并吸收,技法/信息-微冲突信息差,快穿信息压,
WT-100,写作技法.csv,合并吸收,技法/描写-动作化情绪,克苏鲁感官,
WT-101,写作技法.csv,合并吸收,技法/战斗-力量可视化,灵力战斗,
WT-102,写作技法.csv,合并吸收,技法/结构-名场面变奏,同人粉丝视角边界,
WT-103,写作技法.csv,合并吸收,技法/设定执行-年代生活约束,年代对白约束,
WT-104,写作技法.csv,合并吸收,技法/对白-潜台词双层,宅斗称谓潜台词,
冲突对话,场景移交-存量,合并吸收,技法/对白-潜台词双层,存量移入,
名场面,场景移交-存量,保留重写,技法/结构-名场面引爆,存量移入,
对比反差,场景移交-存量,保留重写,技法/结构-对比反差,存量移入,
微冲突,场景移交-存量,保留重写,技法/信息-微冲突信息差,存量移入,
画面感单场戏,场景移交-存量,合并吸收,技法/描写-五感定场,存量移入,
SP-002,场景移交-CSV,合并吸收,技法/对白-声线差异化,与 WT-001 近重复,
SP-003,场景移交-CSV,合并吸收,技法/结构-卷章四任务平衡,卷级功能,
SP-008,场景移交-CSV,合并吸收,技法/战斗-分镜节拍,五拍动作,
SP-009,场景移交-CSV,保留重写,技法/战斗-弱点洞察终结,弱点终结,
SP-011,场景移交-CSV,保留重写,技法/描写-慢镜头体感,绝杀体感,
SP-017,场景移交-CSV,合并吸收,技法/结构-卷间回顾预告,卷终回顾,
SP-021,场景移交-CSV,合并吸收,技法/视角-解说席拆招,解说席,
SP-023,场景移交-CSV,合并吸收,技法/结构-结果先行开篇,倒叙开篇,
SP-027,场景移交-CSV,合并吸收,技法/描写-五感定场,VR感官重置=感官定场变体,
SP-030,场景移交-CSV,合并吸收,技法/对白-潜台词双层,潜台词错位,
SP-031,场景移交-CSV,保留重写,技法/战斗-多感官开场,战前感官,
SP-033,场景移交-CSV,保留重写,技法/视角-反派独处决策,反派视角,
SP-034,场景移交-CSV,保留重写,技法/情感-不逼问默契,默契察觉,
SP-048,场景移交-CSV,保留重写,技法/情感-假扮关系潜台词,假扮关系,
SP-053,场景移交-CSV,合并吸收,技法/结构-场景卡四元,场景卡,
SP-060,场景移交-CSV,合并吸收,技法/设定执行-年代生活约束,年代约束,
SP-066,场景移交-CSV,合并吸收,技法/视角-有限认知,第一人称,
SP-067,场景移交-CSV,合并吸收,技法/战斗-力量可视化,力量可视化,
SP-069,场景移交-CSV,合并吸收,技法/信息-矛盾规则对照,矛盾规则,
SP-073,场景移交-CSV,合并吸收,技法/描写-生活动作载情,生活载情,
SP-074,场景移交-CSV,合并吸收,技法/对白-潜台词双层,替身潜台词,
SP-080,场景移交-CSV,保留重写,技法/结构-名场面变奏,名场面变奏,
SP-088,场景移交-CSV,保留重写,技法/设定执行-工艺失控具体,工艺失控去题材壳,
SP-089,场景移交-CSV,保留重写,技法/设定执行-情绪规则同步,情绪规则同步去题材壳,
感情推进-误会信息,感情推进拆分,保留重写,技法/信息-误会作工具,拆分产物：误会作信息工具,
CH-024,门0-CH,合并吸收,技法/对白-声线差异化,语言特征呈现,
CH-052,门0-CH,转交,人物,自我诱饵是人物功能/破局职责，非呈现方法,登记故事对象任务
CH-054,门0-CH,保留重写,技法/对白-高压嬉笑托底,高压嬉笑呈现,
SY-043,门0-SY,保留重写,技法/设定执行-首次亮相埋限,首次亮相呈现,
SY-082,门0-SY,保留重写,技法/设定执行-体系训练复盘,训练复盘呈现，去电竞壳可泛化,
SY-093,门0-SY,合并吸收,技法/设定执行-年代生活约束,手艺熟练被看见的呈现,
XH/UR/RM/GM-S·规则利用族,书级簇,合并吸收,技法/设定执行-规则利用呈现,四题材规则利用呈现聚类,分片3收口
XH/UR/RM/GM-S·信息差族,书级簇,合并吸收,技法/信息-微冲突信息差,信息差呈现聚类,分片3收口
XH/UR/GM-S·长线布局预判族,书级簇,转交,节拍+技法/信息-闲笔伏笔,时序归节拍，布局呈现并伏笔,分片3收口
UR-S01/S04·GM-S03·知识过程族,书级簇,合并吸收,技法/设定执行-知识过程呈现,知识推导过程,分片3收口
XH-S06–S15等·代价型爽点簇,书级簇,拆分,节拍代价类+技法/设定执行-金手指代价出手,时序/呈现拆分,分片3收口
四题材·反转型爽点簇,书级簇,转交,节拍揭示组+追读反转钩+技法/信息-真误双线铺垫,反转非新技法壳,分片3收口
XH-S03·GM-S10·借刀成品,书级簇,删除,-,固定配置成品桥段,分片3收口
RM-S01/S04/S05·推理型,书级簇,合并吸收,技法/信息-证据投放顺序,推理链,分片3收口
RM-S07/S08/S10·博弈型,书级簇,合并吸收,技法/信息-微冲突信息差+场景谈判/会议,容器归场景,分片3收口
GM-S04/S11/S12·以弱胜强命题,书级簇,转交,节拍+创意约束,命题非呈现,分片3收口
GM-S14/S15·NPC/世界真相,书级簇,转交,节拍+追读+设定,揭示时序,分片3收口
四文件§三至§五菜单指南,书级簇,删除,-,题材菜单与组合模板,分片3收口
§5开篇钩子·五类钩子,书级簇,转交,追读,钩子种属,分片3收口
§5开篇钩子·五类开场场景,书级簇,转交,场景,事件容器,分片3收口
§5开篇钩子·钩子优先法,书级簇,合并吸收,技法/结构-结果先行开篇,三点同步去字数配额,分片3收口
§5开篇钩子·字数题材配额,书级簇,删除,-,固定配额,分片3收口
§4主线小循环模型,书级簇,转交,节拍,循环时序,分片3收口
§4固定循环频率字数,书级簇,删除,-,无效章频,分片3收口
§4卖点贯彻呈现切片,书级簇,拆分,技法/结构-对比反差等,只抽呈现,分片3收口
题材流派·固定章数揭露链,书级簇,删除,-,模板章数,分片3收口
题材流派·分层揭露方法,书级簇,合并吸收,节拍PA-025/048+技法/信息-真误双线铺垫,可迁方法,分片3收口
题材流派·扮猪公开验证,书级簇,合并吸收,技法/信息-微冲突信息差+场景当众翻盘,三问拆分,分片3收口
题材流派·系统直播反馈落笔,书级簇,合并吸收,技法/设定执行-金手指代价出手+首次亮相埋限,反馈可见,分片3收口
题材流派·体验词菜单,书级簇,删除,-,体验词不进技法,分片3收口
anti-trope限制条001-020,书级簇,转交,创意约束/设定/人物,防回流,分片3收口
creativity其余通用源,书级簇,删除,-,书级已消化,分片3收口
PA-011-卷级叙事功能,节拍移入,合并吸收,技法/结构-卷章四任务平衡,批次2移技法结构,若编号名不同以节拍裁决为准
PA-018-结构类移入,节拍移入,合并吸收,技法/结构-卷间回顾预告,批次2移技法结构，吸收卷间类,以节拍裁决实际名为准
