来源编号/名称,输入源,处置,去向或吸收目标,理由,备注
SP-008 五拍式动作推进,CSV,移动技法,技法/战斗,五拍结构=动作组织方法,
SP-009 弱点洞察式终结,CSV,移动技法,技法/战斗,观察判断出手压一线=战斗呈现方法,
SP-010 日常伪装式接头,CSV,保留重写,场景/谍战接头,接头=普通对话下多重含义的博弈事件容器,
SP-011 慢镜头绝杀兑现,CSV,移动技法,技法/描写,慢镜头体感反差=描写呈现方法,
SP-012 静默协同式突入,CSV,合并吸收,场景/团战,小队突入并入多人战斗事件容器,静默协同呈现细节入团战落笔时
SP-013 共情升燃式动员,CSV,保留重写,场景/动员演说,战前动员=演说者与群体的事件互动容器,
SP-014 天音降临式系统宣告,CSV,保留重写,场景/开篇危机,世界入场=旧秩序终结的开篇事件容器,SP-072/085向此合并
SP-015 禁忌感黑市交易,CSV,保留重写,场景/黑市交易,黑市=禁忌氛围下的交易博弈事件容器,与拍卖会区分:非公开竞价
SP-016 创伤映射式梦境迷宫,CSV,保留重写,场景/梦境,梦境迷宫=空间与情绪双失真的特殊事件容器,
SP-017 卷终回顾式开场,CSV,移动技法,技法/结构,卷间回顾浓缩=结构呈现方法,
SP-018 下卷预告式收束,CSV,转交,追读,预告更大之事=章卷尾未闭合压力,批次5/追读消化
SP-019 规则宣读式副本入场,CSV,保留重写,场景/副本入场,规则宣告入场=规则约束下的入场事件容器,SP-061向此合并
SP-020 倒计时封印仪式,CSV,保留重写,场景/仪式,仪式=秩序化步骤与临界失控的事件容器,
SP-021 解说席拆招式对决,CSV,移动技法,技法/视角,第三方解说=信息与视角呈现方法,
SP-022 多人会议暗流调度,CSV,保留重写,场景/多人会议博弈,多人会议=各方不同方式博弈的事件容器,SP-078朝堂奏对向此合并
SP-023 倒叙开篇追因,CSV,移动技法,技法/结构,先果后因=倒叙结构方法,
SP-024 证物侧写式推演,CSV,合并吸收,场景/推演破局,少量证据逼出结论并入推演破局事件容器,
SP-025 遗迹日志拼图揭史,CSV,合并吸收,场景/秘境探险,遗迹探索双层叙事属秘境变体,双层叙事写法入秘境落笔时
SP-026 十秒倒计时伦理抉择,CSV,保留重写,场景/伦理抉择,两难抉择=倒计时压迫下的抉择事件容器,
SP-027 VR登入感官重置,CSV,移动技法,技法/描写,感官重置=描写与视角呈现方法,
SP-028 直播取证式公开反击,CSV,合并吸收,场景/当众翻盘,公开取证反击并入当众翻盘事件容器,
SP-029 任务前聚餐温情埋雷,CSV,合并吸收,场景/群像日常,聚餐埋雷属群像日常变体,埋雷=先温情后异常的写法入群像日常落笔时
SP-030 潜台词错位式对谈,CSV,合并吸收,技法/对白,潜台词错位并入冲突对话技法,
SP-031 多感官压迫式战斗开场,CSV,移动技法,技法/描写,战斗开场感官压迫=描写方法,
SP-032 地形反噬式环境战斗,CSV,合并吸收,场景/打斗,环境参与攻防属打斗变体,地形反噬写法入打斗落笔时
SP-033 反派独处式决策场,CSV,移动技法,技法/视角,反派独处决策=视角与信息呈现方法,
SP-034 不逼问式默契察觉,CSV,移动技法,技法/对白,默契察觉分寸=对白与情感呈现方法,
SP-035 败战撤离式余波收束,CSV,保留重写,场景/败战余波,败战余波=带代价撤离的收束事件容器,
SP-036 旧友假和解式会面,CSV,合并吸收,场景/重逢,假和解会面属重逢变体,
SP-037 沉默施压式审讯,CSV,保留重写,场景/审讯,审讯=沉默施压逼破绽的对抗事件容器,
SP-038 分区搜证式房间翻查,CSV,保留重写,场景/搜证,搜证=空间与线索咬合的探索事件容器,
SP-039 榜单公布式群像反应,CSV,保留重写,场景/公开评议,榜单公布=群体评价点燃多情绪的事件容器,SP-082/096向此合并
SP-040 层层递亮式奖励揭晓,CSV,转交,节拍,层层递亮=场内递进揭晓的张力序列,批次2节拍消化
SP-041 演武示范式破格惊场,CSV,合并吸收,场景/比武大会,演武示范翻面属赛事变体,
SP-042 节庆热闹下潜伏惊变,CSV,合并吸收,场景/宴会,节庆聚会藏冲突属宴会变体,
SP-043 故地重返式对照回望,CSV,合并吸收,场景/重逢,故地对照今昔属重逢家族,对照回望写法入重逢规划时
SP-044 白板推演式多人破局,CSV,保留重写,场景/推演破局,白板推演=错误假设与反证互撞的博弈事件容器,SP-024/062向此合并
SP-045 竞价试探式拍卖暗斗,CSV,合并吸收,场景/拍卖会,拍卖暗斗与存量拍卖会近重复,
SP-046 雨幕逼仄式屋檐对峙,CSV,合并吸收,场景/谈判对峙,屋檐对峙属对峙氛围换皮,
SP-047 舆论压顶式发布会翻盘,CSV,保留重写,场景/当众翻盘,当众翻盘=公开场合主角逆转局面的事件容器,SP-028/052向此合并
SP-048 任务外壳式假扮关系,CSV,移动技法,技法/情感,假扮关系是前提设定其价值在潜台词呈现,
SP-049 正常流程中断式诡静值班,CSV,保留重写,场景/诡异日常,诡异值班=日常流程出现不该有的静与错的事件容器,SP-070向此合并
SP-050 倒计时压迫式站台离别,CSV,保留重写,场景/离别守夜,离别=时间流逝下未尽之言的克制情感事件容器,SP-051向此合并
SP-051 低声克制式病房守夜,CSV,合并吸收,场景/离别守夜,病房守夜属克制情感告别家族,
SP-052 退路封死式记者围堵,CSV,合并吸收,场景/当众翻盘,记者围堵属公开压迫翻盘家族,
SP-053 目的冲突转折结果四格场景卡,CSV,移动技法,技法/结构,场景卡四要素=场景组织结构方法,
SP-054 快速升温式激烈吵架,CSV,保留重写,场景/吵架冲突,吵架=每句逼近伤口的情绪对抗事件容器,
SP-055 临界点式忍耐爆发,CSV,转交,节拍,忍耐到爆发=蓄压释放张力序列,批次2节拍消化
SP-056 情绪失守式突然告白,CSV,保留重写,场景/关系跃迁,告白=现场细节触发的关系当场跃迁事件容器,SP-057与感情推进场景部分向此合并
SP-057 物件归还式关系决裂,CSV,合并吸收,场景/关系跃迁,决裂与告白同属关系当场跃迁事件容器方向相反,
SP-058 活动承载式群像日常,CSV,合并吸收,场景/群像日常,与SP-005群像日常近重复,
SP-059 座次压迫式饭桌冲突,CSV,合并吸收,场景/宴会,饭桌座次冲突属宴会家族,
SP-060 生活约束式年代细节,CSV,移动技法,技法/设定执行,年代真实感来自生活约束=设定执行与描写方法,
SP-061 可执行守则入场,CSV,合并吸收,场景/副本入场,可执行守则与规则宣读近重复,
SP-062 假设反证式线索复盘,CSV,合并吸收,场景/推演破局,假设反证复盘并入推演破局,
SP-063 情绪余波式任务结算,CSV,转交,追读,单元结算=情绪闸门与下单元期待入口即章尾未闭合压力,SP-086向此并;批次5/追读消化
SP-064 账本复盘式经营扩张,CSV,保留重写,场景/经营,经营复盘=局面被推大的经营博弈事件容器,SP-084向此合并
SP-065 答案前一秒付费卡点,CSV,转交,追读,卡点断章=章尾未闭合压力,批次5/追读消化
SP-066 有限认知第一人称,CSV,移动技法,技法/视角,强代入第一人称=视角呈现方法,
SP-067 力量体系可视化战斗,CSV,移动技法,技法/设定执行,力量规则可视化=设定执行呈现方法,
SP-068 站位分工式团战,CSV,保留重写,场景/团战,团战=多人站位分工与局势变化的战斗事件容器,SP-012向此合并
SP-069 条件验证式矛盾规则,CSV,移动技法,技法/设定执行,规则冲突引导发现条件=设定执行方法,
SP-070 日常秩序渐歪恐怖,CSV,合并吸收,场景/诡异日常,日常拧歪恐怖并入诡异日常,恐怖来自日常渐歪写法入诡异日常落笔时
SP-071 外雷内魔双线渡劫,CSV,合并吸收,场景/突破,渡劫属突破变体外压加旧伤双线,
SP-072 危机现场式世界入场,CSV,合并吸收,场景/开篇危机,快穿危机入场属开篇危机换皮,
SP-073 生活动作承载情感,CSV,移动技法,技法/描写,生活动作承载情感=描写呈现方法,
SP-074 替身潜台词对话,CSV,移动技法,技法/对白,替身潜台词=对白呈现方法,
SP-075 系统警报叠现实后果,CSV,转交,节拍,任务目标与真实人物双线失控=张力序列,批次2节拍消化
SP-076 天气倒逼式农忙协作,CSV,保留重写,场景/协作劳动,协作劳动=时间压力下群体协作的事件容器,SP-083向此合并
SP-077 BP到团战的赛事递进,CSV,合并吸收,场景/比武大会,电竞赛事递进属赛事换皮,
SP-078 程序压迫式朝堂奏对,CSV,合并吸收,场景/多人会议博弈,朝堂奏对属多人权谋博弈家族,
SP-079 倒计时工程抢修,CSV,保留重写,场景/限时救援,限时救援=冷静执行与倒计时逼近的事件容器,
SP-080 原作回响式名场面变奏,CSV,移动技法,技法/结构,熟悉感加新变化=衍生结构呈现方法,
SP-081 资源限制式晨间日常,CSV,合并吸收,场景/群像日常,年代晨间日常属群像日常换皮,
SP-082 集体评价压迫场,CSV,合并吸收,场景/公开评议,组织评价进入个人生活属群体评价家族,
SP-083 地势工具协作场,CSV,合并吸收,场景/协作劳动,种田建设协作属协作劳动家族,
SP-084 市井试卖反馈场,CSV,合并吸收,场景/经营,市集试卖反馈属经营博弈家族,
SP-085 现场危机落地法,CSV,合并吸收,场景/开篇危机,快穿单元开局危机属开篇危机换皮,
SP-086 结算异常留钩场,CSV,合并吸收,追读,与SP-063任务结算留钩近重复,随SP-063转交追读
SP-087 道心交锋文斗场,CSV,合并吸收,场景/庭辩,道心文斗属观点交锋对抗家族,
SP-088 工艺失控意外场,CSV,移动技法,技法/设定执行,工艺失控具体过程=设定执行方法,
SP-089 情绪规则同步场,CSV,移动技法,技法/设定执行,超凡规则与亲密关系同发=设定执行与情感呈现方法,
SP-090 公开验证反转场,CSV,合并吸收,场景/真相揭露,身份反转靠细节铺垫属揭露家族,
SP-091 原著角色边界初遇,CSV,删除,-,衍生初遇=关系设定换皮无独有事件互动方法,换题材词仍同模板
SP-092 原作标尺试探战,CSV,合并吸收,场景/打斗,试探战属打斗变体,衍生标尺提醒入打斗审稿时
SP-093 劳动成果庆典场,CSV,合并吸收,场景/宴会,庆典=新秩序被接受的聚会属宴会家族,
SP-094 手续卡点命运场,CSV,保留重写,场景/制度关卡,制度关卡=机会卡在印章名单等制度阻碍的事件容器,
SP-095 替身身份夺回场,CSV,转交,人物,不再接受被当影子=人物弧转变属故事对象人物维度,转交故事对象任务
SP-096 名分压迫式宗族议事,CSV,合并吸收,场景/公开评议,宗族议事名分舆论压人属群体评价家族,
