来源编号/名称,输入源,处置,去向或吸收目标,理由,备注
四文件§三爽点总表+§四组合示例+§五使用指南,书级簇,删除,—,题材专属爽点菜单、固定组合模板、选择流程属书级创意策展已否决物；正式条目不保留旧 ID/示例/固定组合,anti-trope-xianxia/urban/rules-mystery/game.md 全文件的组合示例与选择流程一并覆盖
§5开篇钩子·五类钩子模板,书级簇,转交,追读(危机钩/悬念钩/选择钩/反转钩/身份错位钩等已有种),钩子类型=章首/章尾未闭合压力种属，追读维已覆盖；不在技法再建「钩子类型表」,creativity-constraints.md §5.2。代价钩情感重量可并情绪钩，不单独立技法
§5开篇钩子·五类开场场景,书级簇,转交,场景(开篇危机等已落盘容器),危机/反差/悬念/冲突/日常打破=事件互动容器归场景；适用题材列删除,creativity-constraints.md §5.3
§5开篇钩子·钩子优先法(先钩后纲),书级簇,合并吸收,拟技法 canonical「开篇钩句场同步」(类别:结构)；近邻 WT-029四句式关键句预设 / WT-026一章一爽一压一钩,可迁移组织方法=开写前钉死钩子句+开场功能+章末悬念三点对齐；固定 10/50/30 字配额删除,仅吸收「三点同步」方法，不吸收字数硬配额与题材适用表
§5开篇钩子·字数/题材配额,书级簇,删除,—,10字钩/50字场景/30字悬念与「适用题材」列是固定配额与题材路由，门0与书级已否决,不进任何章级维
§4主线与小循环·大目标+小循环模型,书级簇,转交,节拍(PA-021章级基本盘 / PA-053压释循环 / PA-061三段式爽点 / PA-076单元等),可迁移的是「卖点在循环内重复强化」的张力时序，属节拍；selling-points §4.1,批次2节拍已覆盖同类，不新增节拍也不进技法
§4主线与小循环·固定循环频率与三幕字数,书级簇,删除,—,每10–15章一循环、0–10/10–50/50万+字数带是无效通用章频；书级 v6创意资产裁决已删固定循环频率,selling-points §4.1–4.2 配额部分
§4主线与小循环·卖点贯彻四方式(呈现切片),书级簇,拆分,直接展示/对比反差→技法(结构·对比反差呈现，承接场景移入项)；冲突放大→节拍递进类；角色互动惊叹→对白/信息呈现并入信息差或声线条,只抽「怎样组织呈现」切片；「卖点清单/案例」删除,selling-points §4.3。对比反差与场景裁决移交的「对比反差」同簇，批次4合并一条
题材流派裁决·固定章数/阶段/配比揭露链,书级簇,删除,—,退婚/系统/直播/重生/追妻/无敌等旧文中的固定章数揭露链与阶段配比已在书级改写为条件/递进/失败判据；数量与模板化不是保留理由，不回流篇章,题材流派逐条裁决.md §5 + PRD 固定揭露链条款。现行 v7/references/流派/* 已无章数链
题材流派裁决·可迁移分层揭露方法,书级簇,合并吸收,节拍 PA-025/PA-048/PA-106 + 技法 WT-058真误双线 / WT-045伏笔回收回溯,从旧揭露链抽象出的唯一可迁方法=「表层可信→矛盾刺破→公开验证」的分层与回看公平性；不建「退婚揭露技法」「系统揭秘技法」等题材壳,覆盖原约100行裁决中标注转篇章复核的表现手段；与规则/身份揭示节拍近重复则只补技法侧公平呈现
题材流派裁决·扮猪吃虎/身份债/公开验证表现,书级簇,合并吸收,信息差呈现 + 节拍 PA-054打脸三拍/PA-061 + 场景「当众翻盘/公开评议」,长期认知差与公开验证是信息排布+场容器+打脸时序三问拆分，不单建流派技法,现行扮猪吃虎流/退婚流正文仅引擎；表现手段不回写流派
题材流派裁决·重生信息衰减/系统反馈/直播即时反馈的落笔,书级簇,合并吸收,设定执行：知识过程呈现 / WT-011代价闭环 / 拟并「公开反馈可视化」(类别:设定执行，近邻场景已有公开评议容器)；约束层已收信息有限且会失效,仅收「反馈如何写在动作与他人反应上」；面板/弹幕/热搜作旁白删除判据写入审稿时,不建直播文/系统文专属技法文件
题材流派裁决·纯体验词与题材壳表现菜单,书级簇,删除,—,惊悚/恐怖/虐文/先虐后甜/热门卖点列表等体验词与题材菜单不能决定呈现方法，书级别名裁决已不路由,不进技法候选池
anti-trope 非S限制条(XH/UR/RM/GM-001–020),书级簇,转交,书级创意约束11簇(已准入) / 设定 / 人物；战斗判定实例不进本分片技法,限制条属书级机制与设定，非篇章技法义务；门0书级簇表未将001–020列作篇章义务，本行仅防回流,若战斗「借力/规则裁定」落笔需要呈现，并入规则利用呈现或战斗类 WT-007/008，不从限制表逐条复制
creativity 其余通用源(组合/灵感/市场/卖点§1-3§5-9),书级簇,删除,—,书级 v6创意资产裁决已删除或吸收为建书原则；无篇章技法增量,不在分片3建行落盘条目
