"来源ID","主要问题","原始维度","处置","canonical去向","近重复","删除内容与理由"
"NR-033","家族血脉名","命名","合并吸收","命名/组织势力名立场与功能","与同类标题或对象方法重复","保留可迁移命名动作并合并题材换皮"
"NR-034","行动计划代号","命名","合并吸收","命名/代号绰号传播","与同类标题或对象方法重复","保留可迁移命名动作并合并题材换皮"
"NR-035","店铺据点名","命名","拆分","命名/组织势力名立场与功能","同时覆盖多个对象或传播场景","分别写入同一命名方法的对象范围，不复制实体"
"NR-036","赛事试炼名","命名","保留重写","命名/赛事榜单名评价标准","该类唯一方法骨架","抽象语系、功能和校验动作并删除正反例"
"NR-037","规则条目名","命名","保留重写","命名/术语规则名可复述性","该类唯一方法骨架","抽象语系、功能和校验动作并删除正反例"
"NR-038","章节名","命名","合并吸收","命名/章节名事件与悬念","与同类标题或对象方法重复","保留可迁移命名动作并合并题材换皮"
"NR-039","章节名","命名","合并吸收","命名/章节名事件与悬念","与同类标题或对象方法重复","保留可迁移命名动作并合并题材换皮"
"NR-040","卷名","命名","删除","—","依赖具体题材词或格式偏好","仅有数字、格式或一次性风格偏好，不能形成独有方法"
"NR-041","区域街区名","命名","合并吸收","命名/地点名功能与记忆","与同类标题或对象方法重复","保留可迁移命名动作并合并题材换皮"
"NR-042","组织派系名","命名","拆分","命名/组织势力名立场与功能","同时覆盖多个对象或传播场景","分别写入同一命名方法的对象范围，不复制实体"
"NR-043","协议条约法案名","命名","保留重写","命名/制度官职与称谓","该类唯一方法骨架","抽象语系、功能和校验动作并删除正反例"
"NR-044","榜名单称号","命名","合并吸收","命名/赛事榜单名评价标准","与同类标题或对象方法重复","保留可迁移命名动作并合并题材换皮"
"NR-045","终章标题","命名","转交","命名/章节名事件与悬念","主要问题属于篇章结构或其他任务","命名规则仅登记去向，正文不在本批复制"
"NR-046","书名","命名","合并吸收","命名/书名卖点承诺","与同类标题或对象方法重复","保留可迁移命名动作并合并题材换皮"
"NR-047","书名","命名","合并吸收","命名/书名悬念事实","与同类标题或对象方法重复","保留可迁移命名动作并合并题材换皮"
"NR-048","卷名","命名","合并吸收","命名/卷名阶段路标","与同类标题或对象方法重复","保留可迁移命名动作并合并题材换皮"
"NR-049","章节标题","命名","合并吸收","命名/章节名事件与悬念","与同类标题或对象方法重复","保留可迁移命名动作并合并题材换皮"
"NR-050","角色人名","命名","保留重写","命名/角色名身份语系","该类唯一方法骨架","抽象语系、功能和校验动作并删除正反例"
"NR-051","娱乐圈名","命名","拆分","命名/组织势力名立场与功能","同时覆盖多个对象或传播场景","分别写入同一命名方法的对象范围，不复制实体"
"NR-052","副本名称","命名","合并吸收","命名/任务副本名目标与异常","与同类标题或对象方法重复","保留可迁移命名动作并合并题材换皮"
"NR-053","快穿任务名","命名","合并吸收","命名/任务副本名目标与异常","与同类标题或对象方法重复","保留可迁移命名动作并合并题材换皮"
"NR-054","店铺作坊名","命名","拆分","命名/组织势力名立场与功能","同时覆盖多个对象或传播场景","分别写入同一命名方法的对象范围，不复制实体"
"NR-055","仙侠专名","命名","删除","—","依赖具体题材词或格式偏好","仅有数字、格式或一次性风格偏好，不能形成独有方法"
"NR-056","玄幻专名","命名","合并吸收","命名/地点名功能与记忆","与同类标题或对象方法重复","保留可迁移命名动作并合并题材换皮"
"NR-057","短篇标题","命名","转交","命名/书名卖点承诺","主要问题属于篇章结构或其他任务","命名规则仅登记去向，正文不在本批复制"
"NR-058","种田物件名","命名","合并吸收","命名/能力物品名功能与限制","与同类标题或对象方法重复","保留可迁移命名动作并合并题材换皮"
"NR-059","系统任务名","命名","拆分","命名/系统与游戏词汇传播","同时覆盖多个对象或传播场景","分别写入同一命名方法的对象范围，不复制实体"
"NR-060","幻言专名","命名","删除","—","依赖具体题材词或格式偏好","仅有数字、格式或一次性风格偏好，不能形成独有方法"
"NR-061","电竞游戏名","命名","拆分","命名/系统与游戏词汇传播","同时覆盖多个对象或传播场景","分别写入同一命名方法的对象范围，不复制实体"
"NR-062","历史制度名","命名","合并吸收","命名/制度官职与称谓","与同类标题或对象方法重复","保留可迁移命名动作并合并题材换皮"
"NR-063","科幻专名","命名","合并吸收","命名/组织势力名立场与功能","与同类标题或对象方法重复","保留可迁移命名动作并合并题材换皮"
"NR-064","衍生命名","命名","转交","命名/衍生命名语感适配","主要问题属于篇章结构或其他任务","命名规则仅登记去向，正文不在本批复制"
"NR-065","古言礼制名","命名","合并吸收","命名/制度官职与称谓","与同类标题或对象方法重复","保留可迁移命名动作并合并题材换皮"
"NR-066","乡土地名","命名","合并吸收","命名/地点名功能与记忆","与同类标题或对象方法重复","保留可迁移命名动作并合并题材换皮"
"NR-067","经营店名","命名","拆分","命名/组织势力名立场与功能","同时覆盖多个对象或传播场景","分别写入同一命名方法的对象范围，不复制实体"
"NR-068","年代称谓","命名","合并吸收","命名/角色名身份语系","与同类标题或对象方法重复","保留可迁移命名动作并合并题材换皮"
"NR-069","年代单位名","命名","合并吸收","命名/组织势力名立场与功能","与同类标题或对象方法重复","保留可迁移命名动作并合并题材换皮"
"NR-070","快穿系统术语","命名","保留重写","命名/系统与游戏词汇传播","该类唯一方法骨架","抽象语系、功能和校验动作并删除正反例"
"NR-071","快穿单元人名","命名","合并吸收","命名/角色名身份语系","与同类标题或对象方法重复","保留可迁移命名动作并合并题材换皮"
"NR-072","幻言规则名","命名","合并吸收","命名/术语规则名可复述性","与同类标题或对象方法重复","保留可迁移命名动作并合并题材换皮"
"NR-073","幻言地名","命名","合并吸收","命名/地点名功能与记忆","与同类标题或对象方法重复","保留可迁移命名动作并合并题材换皮"
"NR-074","同人OC名","命名","合并吸收","命名/衍生命名语感适配","与同类标题或对象方法重复","保留可迁移命名动作并合并题材换皮"
"NR-075","衍生技能名","命名","拆分","命名/衍生命名语感适配","同时覆盖多个对象或传播场景","分别写入同一命名方法的对象范围，不复制实体"
"NR-076","宗门专名","命名","合并吸收","命名/组织势力名立场与功能","与同类标题或对象方法重复","保留可迁移命名动作并合并题材换皮"
"NR-077","仙侠物件名","命名","保留重写","命名/能力物品名功能与限制","该类唯一方法骨架","抽象语系、功能和校验动作并删除正反例"
"NR-078","历史机构地名","命名","拆分","命名/制度官职与称谓","同时覆盖多个对象或传播场景","分别写入同一命名方法的对象范围，不复制实体"
"NR-079","游戏系统名","命名","拆分","命名/系统与游戏词汇传播","同时覆盖多个对象或传播场景","分别写入同一命名方法的对象范围，不复制实体"
"BL-N-01","书级名称结果附着","书级转交","转交","命名/名册近名与别名校验","不建立平行命名实体","正名、别名和版本理由随书名或对象保存"
"BL-N-02","衍生世界语感边界","书级转交","转交","命名/衍生命名语感适配","与NR-064/074同簇","不复制原作专名和固定词表"
