来源ID,主要问题,原始维度,处置,canonical去向,近重复,删除内容与理由
SY-088,剧情书页批注机制,设定,删除,篇章执行/追读,与同簇条目或固定模板重复,依赖具体道具、奖励或剧情模板，无法形成独有方法
SY-089,快穿积分商城机制,设定,合并吸收,设定/系统经济与兑换锚点,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
SY-090,任务评级审查机制,设定,合并吸收,设定/系统任务与结算反馈,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
SY-091,身份加载限制机制,设定,拆分,设定/跨世界身份与规则适配,同时含设定与跨维动作,设定部分入唯一条目；其余交对应维度
SY-092,年代物资空间机制,设定,合并吸收,设定/系统经济与兑换锚点,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
SY-093,年代手艺熟练机制,设定,转交,篇章执行/技法,主要产出不在设定,主要产出是创意约束、人物或篇章执行方法
SY-094,现言成长辅助机制,设定,转交,人物/核心欲望与行为缺口,主要产出不在设定,主要产出是角色自主目标方法
SY-095,情绪感知限制机制,设定,合并吸收,设定/能力信息与决策提示,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
SY-096,生活化抽奖池机制,设定,删除,—,与同簇条目或固定模板重复,依赖具体道具、奖励或剧情模板，无法形成独有方法
SY-097,渐进货币流通机制,设定,合并吸收,设定/资源流通与经济锚点,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
SY-098,仙侠机缘抽取机制,设定,转交,创意约束/收益同步扩大风险,主要产出不在设定,主要产出是创意约束、人物或篇章执行方法
SY-099,情感契约规则机制,设定,合并吸收,设定/契约绑定与双向责任,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
SY-100,同人节点任务机制,设定,转交,篇章执行/追读,主要产出不在设定,主要产出是创意约束、人物或篇章执行方法
SY-101,原作兼容能力机制,设定,拆分,设定/跨世界身份与规则适配,同时含设定与跨维动作,设定部分入唯一条目；其余交对应维度
SY-102,精简面板机制,设定,合并吸收,设定/能力信息与决策提示,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
SY-103,主神任务发布机制,设定,合并吸收,设定/系统任务与结算反馈,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
SY-104,前置条件科技树机制,设定,合并吸收,设定/知识转化与技术前置,吸收同类设计动作,保留独有问题；合并重复机制并去掉具体数值
BL-S-01,洪荒流世界事件规则,书级转交,转交,设定/时间循环与因果模型,具体神话实体另属本书设定,只保留已知事件介入与因果改写方法
BL-S-02,克苏鲁未知与认知代价,书级转交,转交,设定/异常污染与恢复窗口,恐惧引擎已在流派,不复制神祇谱系和单书世界观
BL-S-03,诡秘分层晋升规则,书级转交,转交,设定/力量阶梯与越级边界,长期晋升引擎已在流派,具体途径和时代专名由本书实例化
BL-S-04,规则身份与规则实例,书级转交,转交,设定/规则闭环与覆盖校验,规则怪谈流派已有推进边界,不把某个副本答案写成通用模板
BL-S-05,内鬼识别与关系阻力,书级转交,转交,人物/站队成本与忠诚裂缝,关系方法吸收,不预设阵营和反转顺序
BL-S-06,反派镜像职责,书级转交,转交,人物/镜像宿敌与理念分岔,人物方法吸收,不复制固定反派身份和结局
