"来源ID","主要问题","原始维度","处置","canonical去向","近重复","删除内容与理由"
"CH-056","被规则驯化的老幸存者","人物","保留重写","人物/规则驯化与异常适应","该簇唯一保留骨架","抽象为长期行为或关系机制并删除固定身份"
"CH-057","奖励成瘾型冒险者","人物","合并吸收","人物/核心欲望与行为缺口","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-058","低配天赋高执行力普通人","人物","合并吸收","人物/核心欲望与行为缺口","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-059","缺口驱动型主角","人物","合并吸收","人物/核心欲望与行为缺口","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-060","功能锚定型配角","人物","合并吸收","人物/功能锚定型配角","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-061","带旧债的导师","人物","合并吸收","人物/导师边界与旧债","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-062","自我正义型反派","人物","合并吸收","人物/价值自洽反派与现实代价","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-063","互补冲突型搭档","人物","合并吸收","人物/互补冲突与共同成长","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-064","标签反写型女频人设","人物","删除","—","只有人物标签或反差模板","依赖固定标签与反差，无法形成独有设计动作"
"CH-065","熟人社会位置型角色","人物","保留重写","人物/熟人社会与群体评价","该簇唯一保留骨架","抽象为长期行为或关系机制并删除固定身份"
"CH-066","三层身份快穿角色","人物","拆分","人物/身份冲突与新旧自我","同时含人物方法与题材实例","人物部分入唯一条目；题材和呈现部分不复制"
"CH-067","自我找回型替身女主","人物","拆分","人物/身份冲突与新旧自我","同时含人物方法与题材实例","人物部分入唯一条目；题材和呈现部分不复制"
"CH-068","边界学习型追妻男主","人物","保留重写","人物/权力不对称与边界学习","该簇唯一保留骨架","抽象为长期行为或关系机制并删除固定身份"
"CH-069","去神化白月光","人物","拆分","人物/关系信息差与误读修正","同时含人物方法与题材实例","人物部分入唯一条目；题材和呈现部分不复制"
"CH-070","规则试错型新人","人物","合并吸收","人物/规则驯化与异常适应","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-071","半污染向导","人物","拆分","人物/危险向导与信息不对称","同时含人物方法与题材实例","人物部分入唯一条目；题材和呈现部分不复制"
"CH-072","压力型宗门天骄","人物","合并吸收","人物/镜像宿敌与理念分岔","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-073","产业链功能型配角","人物","合并吸收","人物/团队功能与短板分工","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-074","有限权限系统","人物","保留重写","人物/非人伙伴与权限边界","该簇唯一保留骨架","抽象为长期行为或关系机制并删除固定身份"
"CH-075","原主遗留关系网","人物","拆分","人物/遗留关系债与委托边界","同时含人物方法与题材实例","人物部分入唯一条目；题材和呈现部分不复制"
"CH-076","抗压指挥型队长","人物","合并吸收","人物/团队功能与短板分工","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-077","高上限低磨合天才","人物","合并吸收","人物/团队功能与短板分工","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-078","家族仕途绑定者","人物","拆分","人物/熟人社会与群体评价","同时含人物方法与题材实例","人物部分入唯一条目；题材和呈现部分不复制"
"CH-079","有边界护道人","人物","合并吸收","人物/导师边界与旧债","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-080","有限权限AI伙伴","人物","合并吸收","人物/非人伙伴与权限边界","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-081","原作适配型原创角色","人物","拆分","人物/衍生角色与原作边界","同时含人物方法与题材实例","人物部分入唯一条目；题材和呈现部分不复制"
"CH-082","村社熟人网","人物","合并吸收","人物/熟人社会与群体评价","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-083","年代熟人组织网","人物","拆分","人物/熟人社会与群体评价","同时含人物方法与题材实例","人物部分入唯一条目；题材和呈现部分不复制"
"CH-084","任务者","人物","合并吸收","人物/身份冲突与新旧自我","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-085","固定队","人物","合并吸收","人物/团队功能与短板分工","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-086","权力关系网","人物","合并吸收","人物/权力不对称与边界学习","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-087","修行关系网","人物","拆分","人物/权力不对称与边界学习","同时含人物方法与题材实例","人物部分入唯一条目；题材和呈现部分不复制"
"CH-088","超凡关系网","人物","拆分","人物/关系规则与亲密后果","同时含人物方法与题材实例","人物部分入唯一条目；题材和呈现部分不复制"
"CH-089","同人OC","人物","拆分","人物/衍生角色与原作边界","同时含人物方法与题材实例","人物部分入唯一条目；题材和呈现部分不复制"
"CH-090","单元目标群","人物","拆分","人物/遗留关系债与委托边界","同时含人物方法与题材实例","人物部分入唯一条目；题材和呈现部分不复制"
"CH-091","乡土反派亲戚","人物","合并吸收","人物/熟人社会与群体评价","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-092","年代秩序配角","人物","合并吸收","人物/熟人社会与群体评价","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-093","原著参照角色","人物","拆分","人物/衍生角色与原作边界","同时含人物方法与题材实例","人物部分入唯一条目；题材和呈现部分不复制"
"CH-094","村社秩序者","人物","合并吸收","人物/熟人社会与群体评价","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-095","小家分工共同体","人物","合并吸收","人物/团队功能与短板分工","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-096","委托者残念","人物","拆分","人物/遗留关系债与委托边界","同时含人物方法与题材实例","人物部分入唯一条目；题材和呈现部分不复制"
"CH-097","世界修正者","人物","转交","设定/现实与副本双向反馈","主要产出是篇章呈现或设定反馈","对白、单场动作或世界反馈不属于人物设计"
"CH-098","身份夹层青年","人物","拆分","人物/独立目标与关系外人生","同时含人物方法与题材实例","人物部分入唯一条目；题材和呈现部分不复制"
"CH-099","工厂师徒","人物","合并吸收","人物/导师边界与旧债","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-100","游戏资源中间人","人物","合并吸收","人物/利益盟友与忠诚转变","与同目标角色或关系动作重复","保留独有问题；合并同义人物配置与题材换皮"
"CH-101","族群夹层者","人物","拆分","人物/独立目标与关系外人生","同时含人物方法与题材实例","人物部分入唯一条目；题材和呈现部分不复制"
"BL-P-01","反派镜像职责","书级转交","转交","人物/镜像宿敌与理念分岔","与CH-001同簇","只保留共同起点、分岔选择和行动后果"
"BL-P-02","关系阻力","书级转交","转交","人物/权力不对称与边界学习","关系结算不作默认","用资源、拒绝能力和修复行动实例化"
"BL-P-03","内鬼与忠诚裂缝","书级转交","转交","人物/站队成本与忠诚裂缝","与CH-002和CH-038同簇","不预设身份揭晓顺序和阵营答案"
"BL-P-04","规则身份","书级转交","转交","人物/身份冲突与新旧自我","规则本体另归设定","只保留身份义务、关系债与自我选择"
